car_make,car_model,car_age,engine,fuel_type,kilometers_driven,location,mileage,power,region,seats,transmission,price_rupees
AUDI,A4,5,1968.0,Diesel,40000,Bangalore,17.11,174.33,South,5.0,Automatic,2250000.0
AUDI,A4,7,1968.0,Diesel,74002,Ahmedabad,16.55,140.0,West,5.0,Automatic,1850000.0
AUDI,A4,3,1968.0,Diesel,39237,Coimbatore,17.11,174.33,South,5.0,Automatic,2564000.0
AUDI,A4,7,1968.0,Diesel,60000,Jaipur,15.2,140.8,North,5.0,Automatic,1600000.0
AUDI,A4,9,1968.0,Diesel,59000,Delhi,16.55,140.0,North,5.0,Automatic,1000000.0
AUDI,A4,5,1968.0,Diesel,40000,Kolkata,17.11,174.33,East,5.0,Automatic,1750000.0
AUDI,A4,4,1968.0,Diesel,58970,Bangalore,17.11,174.33,South,5.0,Automatic,2375000.0
AUDI,A4,6,1968.0,Diesel,76000,Bangalore,16.55,147.51,South,5.0,Automatic,1825000.0
AUDI,A4,7,3197.0,Petrol,125000,Hyderabad,10.5,163.6344155844156,South,5.0,Automatic,1800000.0
AUDI,A4,4,2967.0,Diesel,35463,Coimbatore,14.94,241.4,South,5.0,Automatic,2502000.0
AUDI,A4,10,1968.0,Diesel,88000,Delhi,16.55,140.0,North,5.0,Automatic,798000.0
AUDI,A4,4,1968.0,Diesel,13506,Kochi,18.25,187.74,South,5.0,Automatic,2166000.0
AUDI,A4,8,1968.0,Diesel,58000,Delhi,16.55,140.0,North,5.0,Automatic,1100000.0
AUDI,A4,4,1968.0,Diesel,60000,Hyderabad,17.11,174.33,South,5.0,Automatic,2500000.0
AUDI,A4,7,1968.0,Diesel,60000,Delhi,15.2,140.8,North,5.0,Automatic,1019999.9999999999
AUDI,A4,0,1968.0,Diesel,38163,Kochi,17.11,174.33,South,5.0,Automatic,3290999.9999999995
AUDI,A4,4,1968.0,Diesel,13000,Ahmedabad,16.55,140.0,West,5.0,Automatic,2300000.0
AUDI,A4,4,1968.0,Diesel,30000,Hyderabad,17.11,174.33,South,5.0,Automatic,2700000.0
AUDI,A4,6,1968.0,Diesel,52000,Hyderabad,16.55,147.51,South,5.0,Automatic,1950000.0
AUDI,A4,2,1968.0,Diesel,14000,Hyderabad,18.25,187.74,South,5.0,Automatic,4300000.0
AUDI,A4,6,1968.0,Diesel,88000,Bangalore,17.11,174.33,South,5.0,Automatic,1625000.0
AUDI,A4,11,1968.0,Diesel,17000,Kolkata,15.2,140.8,East,5.0,Automatic,975000.0
AUDI,A4,5,1968.0,Diesel,28469,Coimbatore,18.25,187.74,South,5.0,Automatic,2437000.0
AUDI,A4,5,1968.0,Diesel,29000,Bangalore,17.11,174.33,South,5.0,Automatic,2600000.0
AUDI,A4,4,1968.0,Diesel,44811,Coimbatore,17.11,174.33,South,5.0,Automatic,2581000.0
AUDI,A4,7,1798.0,Petrol,80000,Hyderabad,15.64,167.62,South,5.0,Automatic,1750000.0
AUDI,A4,8,1968.0,Diesel,54000,Hyderabad,16.55,147.51,South,5.0,Automatic,1800000.0
AUDI,A4,7,1968.0,Diesel,88000,Bangalore,16.55,140.0,South,5.0,Automatic,1625000.0
AUDI,A4,5,1968.0,Diesel,55730,Kochi,16.55,147.51,South,5.0,Automatic,1521000.0
AUDI,A4,5,1968.0,Diesel,29063,Bangalore,17.11,174.33,South,5.0,Automatic,2575000.0
AUDI,A4,10,1968.0,Diesel,46000,Kolkata,16.55,147.51,East,5.0,Automatic,994999.9999999999
AUDI,A4,10,1968.0,Diesel,46000,Kolkata,16.55,147.51,East,5.0,Automatic,850000.0
AUDI,A4,5,2967.0,Diesel,30000,Bangalore,14.94,241.4,South,5.0,Automatic,2450000.0
AUDI,A4,5,1968.0,Diesel,37600,Bangalore,16.55,147.51,South,5.0,Automatic,2250000.0
AUDI,A4,5,1968.0,Diesel,40000,Chennai,17.11,174.33,South,5.0,Automatic,2200000.0
AUDI,A4,8,1968.0,Diesel,57000,Delhi,16.55,147.51,North,5.0,Automatic,975000.0
AUDI,A4,6,1968.0,Diesel,58629,Coimbatore,18.25,187.74,South,5.0,Automatic,1652000.0
AUDI,A6,4,1984.0,Petrol,55985,Mumbai,13.53,177.01,West,5.0,Automatic,2350000.0
AUDI,A6,9,2698.0,Diesel,35000,Kolkata,12.4,179.5,East,5.0,Automatic,1150000.0
AUDI,A6,5,1968.0,Diesel,56000,Delhi,18.53,187.74,North,5.0,Automatic,2950000.0
AUDI,A6,1,1968.0,Diesel,48367,Coimbatore,17.68,174.33,South,5.0,Automatic,3958000.0
AUDI,A6,7,1968.0,Diesel,62500,Mumbai,17.68,174.33,West,5.0,Automatic,1900000.0
AUDI,A6,5,1968.0,Diesel,40000,Mumbai,17.68,174.33,West,5.0,Automatic,2295000.0
AUDI,A6,4,1968.0,Diesel,31652,Kochi,17.68,174.33,South,5.0,Automatic,2678000.0
AUDI,A6,5,1968.0,Diesel,61726,Kochi,17.68,174.33,South,5.0,Automatic,2077000.0
AUDI,A6,5,1968.0,Diesel,51495,Kochi,17.68,174.33,South,5.0,Automatic,2195000.0
AUDI,A6,3,1798.0,Petrol,47000,Mumbai,15.26,187.74,West,5.0,Automatic,2450000.0
AUDI,A6,2,1968.0,Diesel,41041,Coimbatore,17.68,174.33,South,5.0,Automatic,3756000.0
AUDI,A6,7,1968.0,Diesel,202082,Hyderabad,17.68,174.33,South,5.0,Automatic,1230000.0
AUDI,A6,3,1984.0,Petrol,58953,Kochi,13.53,177.01,South,5.0,Automatic,2422000.0
AUDI,A6,5,1968.0,Diesel,49964,Coimbatore,17.68,174.33,South,5.0,Automatic,2389000.0
AUDI,A6,5,1968.0,Diesel,48000,Hyderabad,18.53,187.74,South,5.0,Automatic,2900000.0
AUDI,A6,6,1968.0,Diesel,31000,Kolkata,17.68,174.33,East,5.0,Automatic,1895000.0
AUDI,A6,10,2967.0,Diesel,48040,Coimbatore,16.77,241.38,South,5.0,Automatic,1207000.0
AUDI,A6,6,1968.0,Diesel,70181,Hyderabad,17.68,174.33,South,5.0,Automatic,2399000.0
AUDI,A6,5,1968.0,Diesel,57456,Kochi,17.68,174.33,South,5.0,Automatic,2156000.0
AUDI,A6,5,1968.0,Diesel,62012,Kochi,17.68,174.33,South,5.0,Automatic,2012000.0
AUDI,A6,10,2698.0,Diesel,30000,Mumbai,12.4,179.5,West,5.0,Automatic,894999.9999999999
AUDI,A6,5,1968.0,Diesel,66882,Coimbatore,17.68,174.33,South,5.0,Automatic,2502000.0
AUDI,A6,5,1968.0,Diesel,58000,Delhi,17.68,174.33,North,5.0,Automatic,1850000.0
AUDI,A6,8,2967.0,Diesel,50000,Bangalore,16.77,241.38,South,5.0,Automatic,2100000.0
AUDI,A6,11,2773.0,Petrol,41000,Ahmedabad,10.4,201.0,West,5.0,Automatic,1050000.0
AUDI,A6,11,2967.0,Diesel,45000,Ahmedabad,16.77,241.38,West,5.0,Automatic,1150000.0
AUDI,A6,6,1968.0,Diesel,70998,Coimbatore,17.68,174.33,South,5.0,Automatic,2057000.0
AUDI,A6,5,1968.0,Diesel,56000,Delhi,18.53,187.74,North,5.0,Automatic,2400000.0
AUDI,A6,5,1968.0,Diesel,62000,Hyderabad,18.53,187.74,South,5.0,Automatic,2500000.0
AUDI,A6,6,2698.0,Diesel,90000,Bangalore,12.4,179.5,South,5.0,Automatic,2250000.0
AUDI,A6,7,2967.0,Diesel,50001,Pune,14.57,241.38,West,5.0,Automatic,2900000.0
AUDI,A6,7,1968.0,Diesel,27090,Kolkata,18.53,187.74,East,5.0,Automatic,1650000.0
AUDI,A6,4,1968.0,Diesel,42000,Mumbai,17.68,174.33,West,5.0,Automatic,2425000.0
AUDI,A6,2,1968.0,Diesel,36824,Coimbatore,18.53,187.74,South,5.0,Automatic,3984000.0000000005
AUDI,A6,10,2698.0,Diesel,78000,Ahmedabad,12.4,179.5,West,5.0,Automatic,800000.0
AUDI,A6,5,1968.0,Diesel,54862,Kochi,17.68,174.33,South,5.0,Automatic,1667000.0000000002
AUDI,A6,8,2698.0,Diesel,112719,Pune,12.4,179.5,West,5.0,Automatic,1150000.0
AUDI,A6,1,1798.0,Petrol,22000,Delhi,15.26,187.74,North,5.0,Automatic,4150000.0
AUDI,A6,6,1968.0,Diesel,56500,Mumbai,17.68,174.33,West,5.0,Automatic,1980000.0
AUDI,A6,7,1968.0,Diesel,50000,Mumbai,17.68,174.33,West,5.0,Automatic,1750000.0
AUDI,A6,10,2967.0,Diesel,52830,Coimbatore,16.77,241.38,South,5.0,Automatic,808000.0
AUDI,A6,11,2967.0,Diesel,50000,Ahmedabad,16.77,241.38,West,5.0,Automatic,750000.0
AUDI,A6,9,2698.0,Diesel,35010,Kolkata,12.4,179.5,East,5.0,Automatic,1150000.0
AUDI,A6,4,1968.0,Diesel,50000,Hyderabad,17.68,174.33,South,5.0,Automatic,3600000.0
AUDI,A6,4,1968.0,Diesel,20000,Chennai,18.53,187.74,South,5.0,Automatic,3550000.0
AUDI,A6,4,1968.0,Diesel,37500,Bangalore,17.68,174.33,South,5.0,Automatic,3200000.0
AUDI,A6,6,1968.0,Diesel,85000,Pune,17.68,174.33,West,5.0,Automatic,2100000.0
AUDI,A6,2,1968.0,Diesel,55975,Coimbatore,17.68,174.33,South,5.0,Automatic,3592000.0
AUDI,A6,6,1968.0,Diesel,91903,Kochi,17.68,174.33,South,5.0,Automatic,1755999.9999999998
AUDI,A7,8,2967.0,Diesel,42000,Mumbai,14.4,241.4,West,5.0,Automatic,2875000.0
AUDI,A7,5,2967.0,Diesel,60336,Kochi,14.4,241.4,South,5.0,Automatic,2494000.0
AUDI,A7,7,2967.0,Diesel,24720,Kolkata,14.4,241.4,East,5.0,Automatic,2800000.0
AUDI,A8,7,2967.0,Diesel,56000,Delhi,11.8,246.7,North,5.0,Automatic,4500000.0
AUDI,A8,10,2967.0,Diesel,55000,Bangalore,11.8,246.7,South,5.0,Automatic,1350000.0
AUDI,Q3,4,1968.0,Diesel,64103,Delhi,15.73,174.33,North,5.0,Automatic,1989999.9999999998
AUDI,Q3,2,1968.0,Diesel,37542,Kochi,15.73,174.33,South,5.0,Automatic,2571000.0
AUDI,Q3,3,1968.0,Diesel,86642,Coimbatore,15.17,181.0,South,5.0,Automatic,2037000.0
AUDI,Q3,4,1968.0,Diesel,61000,Hyderabad,15.73,174.33,South,5.0,Automatic,2500000.0
AUDI,Q3,4,1968.0,Diesel,76927,Bangalore,15.73,174.33,South,5.0,Automatic,2275000.0
AUDI,Q3,5,1968.0,Diesel,60000,Chennai,15.73,174.33,South,5.0,Automatic,2000000.0
AUDI,Q3,6,1968.0,Diesel,84000,Bangalore,15.73,174.33,South,5.0,Automatic,1775000.0
AUDI,Q3,6,1968.0,Diesel,60000,Delhi,15.73,174.33,North,5.0,Automatic,1450000.0
AUDI,Q3,6,1968.0,Diesel,60000,Hyderabad,17.32,184.0,South,5.0,Automatic,2100000.0
AUDI,Q3,6,1968.0,Diesel,45000,Kolkata,17.32,184.0,East,5.0,Automatic,1525000.0
AUDI,Q3,3,1968.0,Diesel,45000,Ahmedabad,17.32,184.0,West,5.0,Automatic,2700000.0
AUDI,Q3,3,1968.0,Diesel,58661,Coimbatore,15.17,181.0,South,5.0,Automatic,2803000.0
AUDI,Q3,4,1968.0,Diesel,110000,Pune,15.73,174.33,West,5.0,Automatic,1900000.0
AUDI,Q3,4,1968.0,Diesel,48000,Mumbai,15.73,174.33,West,5.0,Automatic,1825000.0
AUDI,Q3,4,1968.0,Diesel,51000,Bangalore,15.17,181.0,South,5.0,Automatic,2750000.0
AUDI,Q3,4,1968.0,Diesel,48000,Mumbai,15.73,174.33,West,5.0,Automatic,1875000.0
AUDI,Q3,2,1968.0,Diesel,31000,Mumbai,18.51,147.51,West,5.0,Automatic,2700000.0
AUDI,Q3,4,1968.0,Diesel,38000,Bangalore,15.73,174.33,South,5.0,Automatic,2900000.0
AUDI,Q3,5,1968.0,Diesel,65000,Jaipur,15.73,174.33,North,5.0,Automatic,2150000.0
AUDI,Q3,4,1968.0,Diesel,28000,Chennai,15.73,174.33,South,5.0,Automatic,2375000.0
AUDI,Q3,1,1968.0,Diesel,22060,Coimbatore,18.51,147.51,South,5.0,Automatic,3272999.9999999995
AUDI,Q3,6,1968.0,Diesel,105000,Hyderabad,17.32,150.0,South,5.0,Automatic,1900000.0
AUDI,Q3,2,1968.0,Diesel,42366,Coimbatore,15.73,174.33,South,5.0,Automatic,3193000.0
AUDI,Q3,3,1968.0,Diesel,42000,Delhi,15.73,174.33,North,5.0,Automatic,2350000.0
AUDI,Q3,6,1968.0,Diesel,60000,Mumbai,15.73,174.33,West,5.0,Automatic,2200000.0
AUDI,Q3,6,1968.0,Diesel,63716,Hyderabad,15.73,174.33,South,5.0,Automatic,2300000.0
AUDI,Q3,5,1968.0,Diesel,65630,Bangalore,15.73,174.33,South,5.0,Automatic,2175000.0
AUDI,Q5,5,1968.0,Diesel,38000,Bangalore,14.16,174.3,South,5.0,Automatic,3900000.0
AUDI,Q5,6,1968.0,Diesel,13452,Kochi,12.8,167.6,South,5.0,Automatic,2546000.0
AUDI,Q5,2,1968.0,Diesel,40318,Coimbatore,14.16,174.3,South,5.0,Automatic,4374000.0
AUDI,Q5,1,2967.0,Diesel,32496,Coimbatore,13.22,241.4,South,5.0,Automatic,4562000.0
AUDI,Q5,3,1968.0,Diesel,43000,Hyderabad,14.16,174.3,South,5.0,Automatic,3950000.0
AUDI,Q5,5,2967.0,Diesel,25000,Chennai,12.19,236.0,South,5.0,Automatic,4400000.0
AUDI,Q5,4,2967.0,Diesel,11964,Mumbai,13.22,241.4,West,5.0,Automatic,3295000.0000000005
AUDI,Q5,4,1968.0,Diesel,56000,Hyderabad,14.16,174.3,South,5.0,Automatic,3500000.0
AUDI,Q5,5,1968.0,Diesel,38000,Bangalore,14.16,174.3,South,5.0,Automatic,3895000.0000000005
AUDI,Q5,4,1968.0,Diesel,42747,Coimbatore,14.16,174.3,South,5.0,Automatic,3947000.0
AUDI,Q5,8,1968.0,Diesel,53000,Bangalore,12.8,167.6,South,5.0,Automatic,2300000.0
AUDI,Q5,7,1968.0,Diesel,74500,Delhi,14.16,174.3,North,5.0,Automatic,1500000.0
AUDI,Q5,5,1968.0,Diesel,50000,Hyderabad,14.16,174.3,South,5.0,Automatic,3500000.0
AUDI,Q5,6,1968.0,Diesel,44000,Chennai,14.16,174.3,South,5.0,Automatic,3250000.0
AUDI,Q5,2,2967.0,Diesel,43827,Coimbatore,13.22,241.4,South,5.0,Automatic,3683000.0
AUDI,Q5,5,1968.0,Diesel,87652,Coimbatore,14.16,174.3,South,5.0,Automatic,2571000.0
AUDI,Q5,4,1968.0,Diesel,60146,Coimbatore,14.16,174.3,South,5.0,Automatic,2964000.0
AUDI,Q5,6,1968.0,Diesel,71000,Delhi,14.16,174.3,North,5.0,Automatic,2150000.0
AUDI,Q5,4,1968.0,Diesel,63000,Bangalore,14.16,174.3,South,5.0,Automatic,3600000.0
AUDI,Q5,5,1968.0,Diesel,53900,Bangalore,14.16,174.3,South,5.0,Automatic,2900000.0
AUDI,Q5,4,2967.0,Diesel,63000,Bangalore,13.22,241.4,South,5.0,Automatic,3450000.0
AUDI,Q5,3,1968.0,Diesel,47293,Coimbatore,14.16,174.3,South,5.0,Automatic,3872000.0
AUDI,Q5,6,1968.0,Diesel,80127,Coimbatore,12.8,167.6,South,5.0,Automatic,2368000.0
AUDI,Q5,10,1984.0,Petrol,99100,Ahmedabad,9.74,208.0,West,5.0,Automatic,1000000.0
AUDI,Q5,5,1968.0,Diesel,44999,Delhi,12.8,167.6,North,5.0,Automatic,2500000.0
AUDI,Q5,6,1968.0,Diesel,72000,Hyderabad,14.16,174.3,South,5.0,Automatic,2900000.0
AUDI,Q5,4,1968.0,Diesel,52000,Mumbai,14.16,174.3,West,5.0,Automatic,2549000.0
AUDI,Q5,6,1968.0,Diesel,12467,Kochi,12.8,167.6,South,5.0,Automatic,2564000.0
AUDI,Q5,8,1984.0,Petrol,59967,Kochi,9.74,208.0,South,5.0,Automatic,1800000.0
AUDI,Q5,1,2967.0,Diesel,29091,Coimbatore,13.22,241.4,South,5.0,Automatic,4552000.0
AUDI,Q7,1,2967.0,Diesel,11287,Kochi,12.07,241.4,South,7.0,Automatic,7036000.0
AUDI,Q7,2,2967.0,Diesel,97430,Coimbatore,14.75,245.0,South,7.0,Automatic,6267000.0
AUDI,Q7,11,2967.0,Diesel,99000,Mumbai,12.07,241.4,West,7.0,Automatic,1295000.0
AUDI,Q7,3,4134.0,Diesel,51002,Coimbatore,11.33,335.2,South,7.0,Automatic,4891000.0
AUDI,Q7,5,4134.0,Diesel,79926,Kochi,11.33,335.2,South,7.0,Automatic,2977000.0
AUDI,Q7,10,2967.0,Diesel,94000,Pune,12.07,241.4,West,7.0,Automatic,1200000.0
AUDI,Q7,11,2967.0,Diesel,120300,Pune,12.07,241.4,West,7.0,Automatic,1800000.0
AUDI,Q7,4,2967.0,Diesel,46983,Coimbatore,12.07,241.4,South,7.0,Automatic,4335000.0
AUDI,Q7,5,4134.0,Diesel,50000,Bangalore,11.33,335.2,South,7.0,Automatic,5100000.0
AUDI,Q7,4,2967.0,Diesel,53735,Coimbatore,12.07,241.4,South,7.0,Automatic,3894000.0
AUDI,Q7,4,2967.0,Diesel,65938,Mumbai,12.07,241.4,West,7.0,Automatic,3800000.0
AUDI,Q7,3,2967.0,Diesel,20002,Mumbai,14.75,245.0,West,7.0,Automatic,6700000.0
AUDI,Q7,4,2967.0,Diesel,21000,Bangalore,12.07,241.4,South,7.0,Automatic,4800000.0
AUDI,Q7,0,2967.0,Diesel,6773,Kochi,14.75,245.0,South,7.0,Automatic,7294000.0
AUDI,Q7,11,4134.0,Petrol,71000,Delhi,8.3,250.0,North,7.0,Automatic,1199000.0
AUDI,Q7,7,2967.0,Diesel,88000,Hyderabad,12.07,241.4,South,7.0,Automatic,3650000.0
AUDI,Q7,7,2967.0,Diesel,79000,Hyderabad,12.07,241.4,South,7.0,Automatic,3900000.0
AUDI,Q7,8,2967.0,Diesel,98000,Hyderabad,12.07,241.4,South,7.0,Automatic,2200000.0
AUDI,Q7,3,2967.0,Diesel,28733,Coimbatore,12.07,241.4,South,7.0,Automatic,5311000.0
AUDI,Q7,4,2967.0,Diesel,21000,Bangalore,12.07,241.4,South,7.0,Automatic,5250000.0
AUDI,Q7,3,2967.0,Diesel,72132,Kochi,12.07,241.4,South,7.0,Automatic,3900000.0
AUDI,Q7,5,2967.0,Diesel,51076,Coimbatore,12.07,241.4,South,7.0,Automatic,3488000.0000000005
AUDI,Q7,7,2967.0,Diesel,91743,Coimbatore,12.07,241.4,South,7.0,Automatic,2855000.0
AUDI,Q7,3,2967.0,Diesel,32545,Coimbatore,12.07,241.4,South,7.0,Automatic,4876000.0
AUDI,Q7,5,2967.0,Diesel,72469,Coimbatore,12.07,241.4,South,7.0,Automatic,3252000.0000000005
AUDI,Q7,3,2967.0,Diesel,45180,Coimbatore,12.07,241.4,South,7.0,Automatic,5022000.0
AUDI,Q7,4,4134.0,Diesel,50000,Bangalore,11.33,335.2,South,7.0,Automatic,4800000.0
AUDI,Q7,5,2967.0,Diesel,60000,Hyderabad,12.07,241.4,South,7.0,Automatic,4500000.0
AUDI,Q7,5,2967.0,Diesel,102865,Coimbatore,12.07,241.4,South,7.0,Automatic,3050000.0
AUDI,Q7,4,2967.0,Diesel,50000,Hyderabad,12.07,241.4,South,7.0,Automatic,4750000.0
AUDI,Q7,9,4134.0,Diesel,73000,Delhi,11.33,335.2,North,7.0,Automatic,1751000.0000000002
AUDI,Q7,4,4134.0,Diesel,56238,Coimbatore,11.33,335.2,South,7.0,Automatic,5169000.0
AUDI,Q7,2,2967.0,Diesel,59500,Pune,14.75,245.0,West,7.0,Automatic,6800000.0
AUDI,Q7,5,2967.0,Diesel,118218,Coimbatore,12.07,241.4,South,7.0,Automatic,3141000.0
AUDI,Q7,5,2967.0,Diesel,45000,Bangalore,12.07,241.4,South,7.0,Automatic,3790000.0
AUDI,Q7,3,2967.0,Diesel,31075,Coimbatore,12.07,241.4,South,7.0,Automatic,4979000.0
AUDI,Q7,5,2967.0,Diesel,58000,Delhi,12.07,241.4,North,7.0,Automatic,3200000.0
AUDI,Q7,4,2967.0,Diesel,55662,Coimbatore,12.07,241.4,South,7.0,Automatic,4283000.0
AUDI,RS5,6,2894.0,Petrol,23000,Mumbai,11.05,444.0,West,4.0,Automatic,3700000.0
AUDI,RS5,6,2894.0,Petrol,23312,Mumbai,11.05,444.0,West,4.0,Automatic,4050000.0
AUDI,TT,6,1984.0,Petrol,12100,Delhi,9.9,207.8,North,2.0,Automatic,2950000.0
AUDI,TT,7,1984.0,Petrol,7000,Kolkata,14.33,226.6,East,4.0,Automatic,3500000.0
AUDI,TT,5,1984.0,Petrol,14262,Kochi,9.9,207.8,South,2.0,Automatic,2735000.0
BENTLEY,CONTINENTAL,13,5998.0,Petrol,48000,Hyderabad,8.6,552.0,South,4.0,Automatic,5900000.0
BMW,1,4,1995.0,Diesel,31821,Coimbatore,20.58,143.0,South,5.0,Automatic,1722000.0
BMW,1,6,1995.0,Diesel,51000,Hyderabad,20.58,143.0,South,5.0,Automatic,1700000.0
BMW,1,4,1995.0,Diesel,46001,Pune,20.58,143.0,West,5.0,Automatic,1600000.0
BMW,3,5,1995.0,Diesel,32982,Kochi,22.69,190.0,South,5.0,Automatic,1855000.0
BMW,3,4,1995.0,Diesel,56087,Mumbai,22.69,190.0,West,5.0,Automatic,2075000.0
BMW,3,5,1995.0,Diesel,48000,Mumbai,21.76,190.0,West,5.0,Automatic,2650000.0
BMW,3,4,1995.0,Diesel,30717,Kochi,21.76,190.0,South,5.0,Automatic,2599000.0
BMW,3,8,1995.0,Diesel,89616,Chennai,16.07,181.0,South,5.0,Automatic,1100000.0
BMW,3,4,1995.0,Diesel,41000,Mumbai,21.76,190.0,West,5.0,Automatic,2550000.0
BMW,3,3,1995.0,Diesel,19235,Bangalore,21.76,190.0,South,5.0,Automatic,3650000.0
BMW,3,9,1995.0,Petrol,48394,Coimbatore,12.05,154.0,South,5.0,Automatic,1049000.0
BMW,3,5,1995.0,Diesel,47000,Bangalore,18.88,184.0,South,5.0,Automatic,2550000.0
BMW,3,6,1995.0,Diesel,37500,Mumbai,18.88,184.0,West,5.0,Automatic,1675000.0
BMW,3,10,1995.0,Diesel,137000,Chennai,13.2,170.0,South,5.0,Automatic,900000.0
BMW,3,5,1995.0,Diesel,69330,Bangalore,16.07,181.0,South,5.0,Automatic,2350000.0
BMW,3,6,1995.0,Diesel,38998,Kolkata,16.07,181.0,East,4.0,Automatic,1700000.0
